label,posX,posY
4904,52326.379258521345,87601.1857537418
1084,-10960.723817363642,206377.16366048553
7942,-11443.825270615474,1836.123944699851
384,2410.431611577537,11068.774913532341
7608,-25064.482557049345,-12805.063433683043
3586,8177393.581353064,-1834493.7436374228
6400,1610108.1635504414,1883558.8510388765
3702,-10056.02987123824,-11227.145793239375
5354,53512.10358495287,-53160.68511973667
7020,16476.629939366987,-155577.13999855012
1894,8856.020334166995,18790.569534665905
4926,-59655.98252684757,343851.26097919676
5384,-578215.0419685759,872089.443405028
7136,-266.842327834224,975.4023722981294
140,34223.91998909171,-898182.4298372001
7688,160258.19947658386,142956.38439992227
204,2410103.2737617213,6012408.111361756
956,2376169.0866949796,-11235.097722677092
5928,-839627.9856371798,-2342982.932596857
4992,149309.58765727846,-14362.043966229503
3706,2514.622691533145,-14379.410641392813
2334,-27218.270671061946,-28807.90277561573
6028,-3398.6121510246835,6067.597857868047
4260,-40218.921524845595,10844.417432694716
5638,1616093.5106488955,1548455.2152260377
2506,3968042.843959964,5457360.56533984
4224,936388.020011085,764554.7808053608
450,-52.131465861136114,-5035.172776175539
160,-22755.982517249475,-37103.49988987099
6778,-5059.751623656869,-21228.39306583179
7456,-105919.05556249672,52604.63847988766
1780,-319821.37063931127,400646.0304755691
1596,-1847369.4381246858,-2508457.150811353
5136,-28096.887842789318,34272.44998603213
2346,-41921.05488863095,-35476.50914351731
4582,19998.83167032616,-8878.188602134243
3932,-208841.7175894708,-104062.67849257823
2904,-372676.7405084739,-131844.11797483018
6840,-538327.5647240338,652979.4940061127
1500,-535221.0174263382,-213868.54439958453
548,-49812.81462747143,13029.885933669237
1732,-947473.2290687771,-43410.51503620053
1550,737594.8610993024,1328703.267306266
6006,-5272919.773556131,-7758776.008509571
6648,51514.508030643854,-88146.80908284665
528,-35672.450714050334,-2068.8674004515015
2938,-10183.924143105074,-60290.67616724467
1716,73094.14912784018,93340.82853704112
2912,-3848101.198993591,-1843954.3368254304
1310,1722251.2671297835,-3539099.328510099
7034,-324.6761445549608,5585.82140748245
2718,1396.7891032320895,-37343.082444126536
2192,-52948.95268282394,39377.73627087314
1202,-930481.2195404934,1372734.9235820905
196,-20315.43887039978,-4640.887213958552
2706,83677.5480926338,574753.1929647005
3118,263055.07368489,249558.5401288172
7134,22942.647587110296,-136973.1982538969
7098,-29910.73747999366,81178.89493976993
5090,-14766.47449416469,-175959.21510895656
8238,6914.026954546048,-7855.506600170052
3568,-1.0262711628213745E7,-1.1354209111874105E7
5506,-1445033.821829842,-1756016.5965235438
1144,-155788.22650564276,-964434.0159846308
1670,-640998.3105021388,-78830.71732539951
4228,30450.709145834873,37127.495262719895
7856,263534.49842928146,404675.3780429446
3296,22900.55048256403,55018.54041641794
4304,-6671.377707538396,17705.323076767858
5204,-2377372.8852413804,-1430840.1321794784
5648,63555.77320789749,-1667.9081518820635
7168,1364182.7769681995,-1913548.9653980066
4424,2622318.8472596356,973252.696503202
2180,84483.25858991852,-105464.9871750923
266,-71862.46943171757,-361816.0820872008
1344,-51969.89278287221,-20514.50263312439
5746,31660.154765003746,-11752.59940888783
2618,38770.686739588506,746231.8258093093
4106,69367.28237156395,-47733.767764073644
4126,66422.30044599019,92210.00326103496
2974,-61131.474816816684,-323010.2212678685
988,6784426.671842778,5137627.379803646
7284,-3584.240882390931,-10816.403539261242
3270,-9092.873497804123,-35162.4600063996
8052,81771.19906997292,430.21961049882174
3918,-30384.62978966318,-65768.29898821462
4128,-510250.5352891768,-2776.2034033970363
3722,29557.957954304013,5881.500857027742
2790,2172076.8247488528,-5041344.833962038
1468,2527725.628054743,269842.665466955
1678,226611.49696727697,91898.86924585271
836,-534628.2590589116,2049954.304367866
3490,-23289.211395413386,-9012.018213837113
1800,620291.887079851,384623.22117768135
2744,1669297.6457314184,-1061792.1149502995
1656,18362.573447339128,-17484.751629127426
5522,7960.4865886688585,-12437.693656228827
7572,79080.06045622868,124923.13461296094
6472,462356.92244870064,550934.7875106677
